Latin,Cyrillic
χʷ,хв
χ,х
ʔ,ъ
ǯʷ,джв
ǯ,дж
zʷ,зв
ž,ж
z,з
xʷ,хьв
xː,хьхь
x,хь
w,в
ǘˤː,у́ьӀуьӀ
üˤː,уьӀуьӀ
úˤː,у́ӀуӀ
uˤː,уӀуӀ
ǘˤ,у́ьӀ
üˤ,уьӀ
úˤ,у́Ӏ
uˤ,уӀ
ǘː,у́ьуь
üː,уьуь
úː,у́у
uː,уу
ǘ,у́ь
ü,уь
ú,у́
u,у
tʼ,тӀ
t,т
šʷ,шв
sʷ,св
šʲː,щщ
šʲ,щ
šː,шш
sː,сс
š,ш
s,с
ʁʷ,гъв
ʁ,гъ
r,р
qʼʷ,кьв
qʼ,кь
q,хъ
pʼ,пӀ
p,п
óˤː,о́ӀоӀ
oˤː,оӀоӀ
óˤ,о́Ӏ
oˤ,оӀ
óː,о́о
oː,оо
ó,о́
o,о
n,н
m,м
l,л
kʼʷ,кӀв
kʼ,кӀ
kʷ,кв
k,к
j,й
ɨ́ˤː,ыӀыӀ
ɨˤː,ыӀыӀ
ɨ́ˤ,ыӀ
ɨˤ,ыӀ
ɨ́ː,ыы
ɨː,ыы
ɨ́,ы
ɨ,ы
íˤː,и́ӀиӀ
iˤː,иӀиӀ
íˤ,и́Ӏ
iˤ,иӀ
íː,и́и
iː,ии
í,и́
i,и
h,гь
ɣ,гӀ
ɢʷ,къв
ɢ,къ
gʷ,гв
g,г
f,ф
ɞ́,о̂́
ɞ,о̂
éˤː,éӀeӀ
eˤː,eӀeӀ
éˤ,éӀ
eˤ,eӀ
éː,е́е
eː,ее
é,е́
e,е
d,д
čʼʷ,чӀв
čʼ,чӀ
cʼ,цӀ
čʷ,чв
č,ч
c,ц
b,б
ɐ́,а̂́
ɐ,а̂
ä́ˤː,а́ьӀаьӀ
äˤː,аьӀаьӀ
áˤː,а́ӀаӀ
aˤː,аӀаӀ
ä́ˤ,а́ьӀ
äˤ,аьӀ
áˤ,а́Ӏ
aˤ,аӀ
ä́ː,а́ьаь
äː,аьаь
áː,а́а
aː,аа
ä́,а́ь
ä,аь
á,а́
a,а
ʲ,ʼ
